date,price_per_kg_inr,source,close,open,high,low
2026-01-29,1343.7,Economic Times MCX,,,,
2026-01-30,1381.0,Economic Times MCX,1306.0,1381000.0,1381000.0,1306.0
2026-01-31,,Economic Times MCX,1284.5,1306000.0,1306000.0,1284.5
2026-02-01,,Economic Times MCX,1233.8,1284500.0,1284500.0,1233.8
2026-02-02,,Economic Times MCX,1218.9,1233800.0,1233800.0,1218.9
2026-02-03,,Economic Times MCX,1281.35,1218900.0,1218900.0,1281.35
2026-02-04,,Economic Times MCX,1243.0,1281350.0,1281350.0,1243.0
2026-02-05,,Economic Times MCX,1228.9,1243000.0,1243000.0,1228.9
2026-02-06,,Economic Times MCX,1240.8,1228900.0,1228900.0,1240.8
2026-02-07,,Economic Times MCX,1240.8,1240800.0,1240800.0,1240.8
2026-02-08,,Economic Times MCX,1243.35,1241850.0,1241850.0,1243.35
2026-02-09,,Economic Times MCX,1249.9,1243350.0,1243350.0,1249.9
2026-02-10,,Economic Times MCX,1235.0,1249900.0,1249900.0,1235.0
2026-02-11,,Economic Times MCX,1249.0,1235000.0,1235000.0,1249.0
2026-02-12,,Economic Times MCX,1206.05,1249000.0,1249000.0,1206.05
2026-02-13,,Economic Times MCX,1211.0,1206050.0,1206050.0,1211.0
2026-02-14,,Economic Times MCX,1210.95,1211000.0,1211000.0,1210.95
2026-02-15,,Economic Times MCX,1208.0,1211000.0,1211000.0,1208.0
2026-02-16,,Economic Times MCX,1197.7,1208000.0,1208000.0,1197.7
2026-02-17,,Economic Times MCX,1150.6,1197700.0,1197700.0,1150.6
2026-02-18,,Economic Times MCX,1182.85,1150600.0,1150600.0,1182.85
2026-02-19,,Economic Times MCX,1155.95,1182850.0,1182850.0,1155.95
