date,purity,price_per_gram_inr,source,close,open,high,low
2026-01-29,24K,18493.0,GoldPricesIndia,,,,
2026-01-29,22K,16952.0,GoldPricesIndia,,,,
2026-01-30,24K,17859.0,GoldPricesIndia,16332.0,17859.0,17859.0,16332.0
2026-01-30,22K,16371.0,GoldPricesIndia,14971.0,16371.0,16371.0,14971.0
2026-01-31,24K,,GoldPricesIndia,16293.0,16332.0,16332.0,16293.0
2026-01-31,22K,,GoldPricesIndia,14935.0,14971.0,14971.0,14935.0
2026-02-01,24K,,GoldPricesIndia,16295.0,16293.0,16295.0,16293.0
2026-02-01,22K,,GoldPricesIndia,14937.0,14935.0,14937.0,14935.0
2026-02-02,24K,,GoldPricesIndia,15396.0,16295.0,16295.0,15202.0
2026-02-02,22K,,GoldPricesIndia,14113.0,14937.0,14937.0,13935.0
2026-02-03,24K,,GoldPricesIndia,16159.0,15396.0,16159.0,15396.0
2026-02-03,22K,,GoldPricesIndia,14812.0,14113.0,14812.0,14113.0
2026-02-04,24K,,GoldPricesIndia,16229.0,16159.0,16688.0,16159.0
2026-02-04,22K,,GoldPricesIndia,14876.0,14812.0,15298.0,14812.0
2026-02-05,24K,,GoldPricesIndia,15854.0,16254.0,16254.0,15854.0
2026-02-05,22K,,GoldPricesIndia,14533.0,14900.0,14900.0,14533.0
2026-02-06,24K,,GoldPricesIndia,15518.0,15572.0,15572.0,15518.0
2026-02-06,22K,,GoldPricesIndia,14225.0,14274.0,14274.0,14225.0
