date,price_per_gram_inr,price_per_kg_inr,source,close,open,high,low
2026-01-29,388.73,388731.0,Economic Times MCX,,,,
2026-01-30,396.0,396000.0,Economic Times MCX,291922.0,396000.0,357100.0,291922.0
2026-01-31,,,Economic Times MCX,291922.0,291922.0,291922.0,291922.0
2026-02-01,,,Economic Times MCX,265652.0,291922.0,291922.0,265652.0
2026-02-02,,,Economic Times MCX,237301.0,265652.0,265652.0,231000.0
2026-02-03,,,Economic Times MCX,267142.0,237301.0,274986.0,237301.0
2026-02-04,,,Economic Times MCX,267612.0,267142.0,286023.0,267142.0
2026-02-05,,,Economic Times MCX,245999.0,267612.0,267612.0,235301.0
2026-02-06,,,Economic Times MCX,250300.0,245999.0,250300.0,234976.0
2026-02-07,,,Economic Times MCX,250300.0,250300.0,250300.0,250300.0
2026-02-08,,,Economic Times MCX,250254.0,250300.0,250300.0,250254.0
2026-02-09,,,Economic Times MCX,262900.0,250254.0,262900.0,250254.0
2026-02-10,,,Economic Times MCX,252401.0,262900.0,262900.0,251100.0
2026-02-11,,,Economic Times MCX,263927.0,252401.0,267700.0,252401.0
2026-02-12,,,Economic Times MCX,257300.0,263927.0,263927.0,256000.0
